DatasetName	PortalURI	SubjectID	SessionID	SessionFilePath	SessionType	NumMatchingPhenotypicSessions	NumMatchingImagingSessions	SessionImagingModalities	SessionCompletedPipelines	DatasetImagingModalities	DatasetPipelines
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-01	ses-01	/data/neurobagel/bagel-cli/bids-examples/synthetic/sub-01/ses-01	http://neurobagel.org/vocab/ImagingSession	2	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-01	ses-01		http://neurobagel.org/vocab/PhenotypicSession	2	2			http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-01	ses-02	/data/neurobagel/bagel-cli/bids-examples/synthetic/sub-01/ses-02	http://neurobagel.org/vocab/ImagingSession	2	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted		http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-01	ses-02		http://neurobagel.org/vocab/PhenotypicSession	2	2			http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-02	ses-01	/data/neurobagel/bagel-cli/bids-examples/synthetic/sub-02/ses-01	http://neurobagel.org/vocab/ImagingSession	2	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-02	ses-01		http://neurobagel.org/vocab/PhenotypicSession	2	2			http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-02	ses-02	/data/neurobagel/bagel-cli/bids-examples/synthetic/sub-02/ses-02	http://neurobagel.org/vocab/ImagingSession	2	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2	http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-02	ses-02		http://neurobagel.org/vocab/PhenotypicSession	2	2			http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-03	ses-01	/data/neurobagel/bagel-cli/bids-examples/synthetic/sub-03/ses-01	http://neurobagel.org/vocab/ImagingSession	2	2	http://purl.org/nidash/nidm#T1Weighted, http://purl.org/nidash/nidm#FlowWeighted		http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
BIDS synthetic	https://github.com/bids-standard/bids-examples	sub-03	ses-01		http://neurobagel.org/vocab/PhenotypicSession	2	2			http://purl.org/nidash/nidm#FlowWeighted, http://purl.org/nidash/nidm#T1Weighted	https://github.com/nipoppy/pipeline-catalog/tree/main/processing/fmriprep 23.1.3, https://github.com/nipoppy/pipeline-catalog/tree/main/processing/freesurfer 7.3.2
